"year","zone","birthweight","measure","value"
"2010-2012","S01001878","Low Weight Births","Ratio",0
"2005-2007","S01001878","Low Weight Births","Ratio",0
"2006-2008","S01001878","Low Weight Births","Ratio",0
"2011-2013","S01001878","Low Weight Births","Ratio",0
"2007-2009","S01001878","Low Weight Births","Ratio",0
"2008-2010","S01001878","Low Weight Births","Ratio",0
"2000-2002","S01001878","Low Weight Births","Ratio",0
"2001-2003","S01001878","Low Weight Births","Ratio",0
"2002-2004","S01001878","Low Weight Births","Ratio",0
"2003-2005","S01001878","Low Weight Births","Ratio",0
"2009-2011","S01001878","Low Weight Births","Ratio",0
"2004-2006","S01001878","Low Weight Births","Ratio",0
"2007-2009","S01001879","Live Singleton Births","Count",41
"2008-2010","S01001879","Live Singleton Births","Count",45
"2001-2003","S01001879","Low Weight Births","Count",0
"2002-2004","S01001879","Low Weight Births","Count",1
"2009-2011","S01001879","Low Weight Births","Count",1
"2009-2011","S01001879","Live Singleton Births","Count",42
"2003-2005","S01001879","Low Weight Births","Count",1
"2010-2012","S01001879","Live Singleton Births","Count",41
"2000-2002","S01001879","Live Singleton Births","Count",47
"2004-2006","S01001879","Low Weight Births","Count",3
"2010-2012","S01001879","Low Weight Births","Count",2
"2011-2013","S01001879","Live Singleton Births","Count",36
"2001-2003","S01001879","Live Singleton Births","Count",43
"2005-2007","S01001879","Low Weight Births","Count",5
"2002-2004","S01001879","Live Singleton Births","Count",42
"2011-2013","S01001879","Low Weight Births","Count",2
"2003-2005","S01001879","Live Singleton Births","Count",45
"2006-2008","S01001879","Low Weight Births","Count",6
"2004-2006","S01001879","Live Singleton Births","Count",54
"2007-2009","S01001879","Low Weight Births","Count",5
"2005-2007","S01001879","Live Singleton Births","Count",54
"2000-2002","S01001879","Low Weight Births","Count",2
"2008-2010","S01001879","Low Weight Births","Count",2
"2006-2008","S01001879","Live Singleton Births","Count",50
"2010-2012","S01001879","Low Weight Births","Ratio","4.88"
"2005-2007","S01001879","Low Weight Births","Ratio","9.26"
"2006-2008","S01001879","Low Weight Births","Ratio",12
"2011-2013","S01001879","Low Weight Births","Ratio","5.56"
"2007-2009","S01001879","Low Weight Births","Ratio","12.2"
"2008-2010","S01001879","Low Weight Births","Ratio","4.44"
"2000-2002","S01001879","Low Weight Births","Ratio","4.26"
"2001-2003","S01001879","Low Weight Births","Ratio",0
"2002-2004","S01001879","Low Weight Births","Ratio","2.38"
"2003-2005","S01001879","Low Weight Births","Ratio","2.22"
"2009-2011","S01001879","Low Weight Births","Ratio","2.38"
"2004-2006","S01001879","Low Weight Births","Ratio","5.56"
"2007-2009","S01001880","Live Singleton Births","Count",34
"2008-2010","S01001880","Live Singleton Births","Count",38
"2001-2003","S01001880","Low Weight Births","Count",0
"2002-2004","S01001880","Low Weight Births","Count",1
"2009-2011","S01001880","Low Weight Births","Count",1
"2009-2011","S01001880","Live Singleton Births","Count",36
"2003-2005","S01001880","Low Weight Births","Count",1
"2010-2012","S01001880","Live Singleton Births","Count",47
"2000-2002","S01001880","Live Singleton Births","Count",35
"2004-2006","S01001880","Low Weight Births","Count",2
"2010-2012","S01001880","Low Weight Births","Count",2
"2011-2013","S01001880","Live Singleton Births","Count",52
"2001-2003","S01001880","Live Singleton Births","Count",29
"2005-2007","S01001880","Low Weight Births","Count",1
"2002-2004","S01001880","Live Singleton Births","Count",30
"2011-2013","S01001880","Low Weight Births","Count",2
"2003-2005","S01001880","Live Singleton Births","Count",30
"2006-2008","S01001880","Low Weight Births","Count",2
"2004-2006","S01001880","Live Singleton Births","Count",31
"2007-2009","S01001880","Low Weight Births","Count",2
"2005-2007","S01001880","Live Singleton Births","Count",30
"2000-2002","S01001880","Low Weight Births","Count",1
"2008-2010","S01001880","Low Weight Births","Count",2
"2006-2008","S01001880","Live Singleton Births","Count",35
"2010-2012","S01001880","Low Weight Births","Ratio","4.26"
"2005-2007","S01001880","Low Weight Births","Ratio","3.33"
"2006-2008","S01001880","Low Weight Births","Ratio","5.71"
"2011-2013","S01001880","Low Weight Births","Ratio","3.85"
"2007-2009","S01001880","Low Weight Births","Ratio","5.88"
"2008-2010","S01001880","Low Weight Births","Ratio","5.26"
"2000-2002","S01001880","Low Weight Births","Ratio","2.86"
"2001-2003","S01001880","Low Weight Births","Ratio",0
"2002-2004","S01001880","Low Weight Births","Ratio","3.33"
"2003-2005","S01001880","Low Weight Births","Ratio","3.33"
"2009-2011","S01001880","Low Weight Births","Ratio","2.78"
"2004-2006","S01001880","Low Weight Births","Ratio","6.45"
"2007-2009","S01001881","Live Singleton Births","Count",21
"2008-2010","S01001881","Live Singleton Births","Count",21
"2001-2003","S01001881","Low Weight Births","Count",0
"2002-2004","S01001881","Low Weight Births","Count",0
"2009-2011","S01001881","Low Weight Births","Count",0
"2009-2011","S01001881","Live Singleton Births","Count",17
"2003-2005","S01001881","Low Weight Births","Count",0
"2010-2012","S01001881","Live Singleton Births","Count",15
"2000-2002","S01001881","Live Singleton Births","Count",20
"2004-2006","S01001881","Low Weight Births","Count",0
"2010-2012","S01001881","Low Weight Births","Count",0
"2011-2013","S01001881","Live Singleton Births","Count",12
"2001-2003","S01001881","Live Singleton Births","Count",24
"2005-2007","S01001881","Low Weight Births","Count",0
"2002-2004","S01001881","Live Singleton Births","Count",20
"2011-2013","S01001881","Low Weight Births","Count",0
"2003-2005","S01001881","Live Singleton Births","Count",21
"2006-2008","S01001881","Low Weight Births","Count",0
"2004-2006","S01001881","Live Singleton Births","Count",16
"2007-2009","S01001881","Low Weight Births","Count",0
"2005-2007","S01001881","Live Singleton Births","Count",19
"2000-2002","S01001881","Low Weight Births","Count",0
"2008-2010","S01001881","Low Weight Births","Count",0
"2006-2008","S01001881","Live Singleton Births","Count",20
"2010-2012","S01001881","Low Weight Births","Ratio",0
"2005-2007","S01001881","Low Weight Births","Ratio",0
"2006-2008","S01001881","Low Weight Births","Ratio",0
"2011-2013","S01001881","Low Weight Births","Ratio",0
"2007-2009","S01001881","Low Weight Births","Ratio",0
"2008-2010","S01001881","Low Weight Births","Ratio",0
"2000-2002","S01001881","Low Weight Births","Ratio",0
"2001-2003","S01001881","Low Weight Births","Ratio",0
"2002-2004","S01001881","Low Weight Births","Ratio",0
"2003-2005","S01001881","Low Weight Births","Ratio",0
"2009-2011","S01001881","Low Weight Births","Ratio",0
"2004-2006","S01001881","Low Weight Births","Ratio",0
"2007-2009","S01001882","Live Singleton Births","Count",26
"2008-2010","S01001882","Live Singleton Births","Count",29
"2001-2003","S01001882","Low Weight Births","Count",1
"2002-2004","S01001882","Low Weight Births","Count",1
"2009-2011","S01001882","Low Weight Births","Count",2
"2009-2011","S01001882","Live Singleton Births","Count",34
"2003-2005","S01001882","Low Weight Births","Count",0
"2010-2012","S01001882","Live Singleton Births","Count",36
"2000-2002","S01001882","Live Singleton Births","Count",36
"2004-2006","S01001882","Low Weight Births","Count",0
"2010-2012","S01001882","Low Weight Births","Count",1
"2011-2013","S01001882","Live Singleton Births","Count",31
"2001-2003","S01001882","Live Singleton Births","Count",30
"2005-2007","S01001882","Low Weight Births","Count",0
"2002-2004","S01001882","Live Singleton Births","Count",28
"2011-2013","S01001882","Low Weight Births","Count",0
"2003-2005","S01001882","Live Singleton Births","Count",32
"2006-2008","S01001882","Low Weight Births","Count",0
"2004-2006","S01001882","Live Singleton Births","Count",31
"2007-2009","S01001882","Low Weight Births","Count",1
"2005-2007","S01001882","Live Singleton Births","Count",30
"2000-2002","S01001882","Low Weight Births","Count",2
"2008-2010","S01001882","Low Weight Births","Count",2
"2006-2008","S01001882","Live Singleton Births","Count",25
"2010-2012","S01001882","Low Weight Births","Ratio","2.78"
"2005-2007","S01001882","Low Weight Births","Ratio",0
"2006-2008","S01001882","Low Weight Births","Ratio",0
"2011-2013","S01001882","Low Weight Births","Ratio",0
"2007-2009","S01001882","Low Weight Births","Ratio","3.85"
"2008-2010","S01001882","Low Weight Births","Ratio","6.9"
"2000-2002","S01001882","Low Weight Births","Ratio","5.56"
"2001-2003","S01001882","Low Weight Births","Ratio","3.33"
"2002-2004","S01001882","Low Weight Births","Ratio","3.57"
"2003-2005","S01001882","Low Weight Births","Ratio",0
"2009-2011","S01001882","Low Weight Births","Ratio","5.88"
"2004-2006","S01001882","Low Weight Births","Ratio",0
"2007-2009","S01001883","Live Singleton Births","Count",20
"2008-2010","S01001883","Live Singleton Births","Count",14
"2001-2003","S01001883","Low Weight Births","Count",0
"2002-2004","S01001883","Low Weight Births","Count",0
"2009-2011","S01001883","Low Weight Births","Count",0
"2009-2011","S01001883","Live Singleton Births","Count",16
"2003-2005","S01001883","Low Weight Births","Count",0
"2010-2012","S01001883","Live Singleton Births","Count",11
"2000-2002","S01001883","Live Singleton Births","Count",23
"2004-2006","S01001883","Low Weight Births","Count",0
"2010-2012","S01001883","Low Weight Births","Count",0
"2011-2013","S01001883","Live Singleton Births","Count",12
"2001-2003","S01001883","Live Singleton Births","Count",23
"2005-2007","S01001883","Low Weight Births","Count",0
"2002-2004","S01001883","Live Singleton Births","Count",19
"2011-2013","S01001883","Low Weight Births","Count",0
"2003-2005","S01001883","Live Singleton Births","Count",18
"2006-2008","S01001883","Low Weight Births","Count",1
"2004-2006","S01001883","Live Singleton Births","Count",16
"2007-2009","S01001883","Low Weight Births","Count",1
"2005-2007","S01001883","Live Singleton Births","Count",18
"2000-2002","S01001883","Low Weight Births","Count",0
"2008-2010","S01001883","Low Weight Births","Count",1
"2006-2008","S01001883","Live Singleton Births","Count",16
"2010-2012","S01001883","Low Weight Births","Ratio",0
"2005-2007","S01001883","Low Weight Births","Ratio",0
"2006-2008","S01001883","Low Weight Births","Ratio","6.25"
"2011-2013","S01001883","Low Weight Births","Ratio",0
"2007-2009","S01001883","Low Weight Births","Ratio",5
"2008-2010","S01001883","Low Weight Births","Ratio","7.14"
"2000-2002","S01001883","Low Weight Births","Ratio",0
"2001-2003","S01001883","Low Weight Births","Ratio",0
"2002-2004","S01001883","Low Weight Births","Ratio",0
"2003-2005","S01001883","Low Weight Births","Ratio",0
"2009-2011","S01001883","Low Weight Births","Ratio",0
"2004-2006","S01001883","Low Weight Births","Ratio",0
"2007-2009","S01001884","Live Singleton Births","Count",29
"2008-2010","S01001884","Live Singleton Births","Count",32
"2001-2003","S01001884","Low Weight Births","Count",2
"2002-2004","S01001884","Low Weight Births","Count",2
"2009-2011","S01001884","Low Weight Births","Count",1
"2009-2011","S01001884","Live Singleton Births","Count",26
"2003-2005","S01001884","Low Weight Births","Count",2
"2010-2012","S01001884","Live Singleton Births","Count",24
"2000-2002","S01001884","Live Singleton Births","Count",21
"2004-2006","S01001884","Low Weight Births","Count",1
"2010-2012","S01001884","Low Weight Births","Count",1
"2011-2013","S01001884","Live Singleton Births","Count",21
"2001-2003","S01001884","Live Singleton Births","Count",20
"2005-2007","S01001884","Low Weight Births","Count",1
"2002-2004","S01001884","Live Singleton Births","Count",23
"2011-2013","S01001884","Low Weight Births","Count",1
"2003-2005","S01001884","Live Singleton Births","Count",24
"2006-2008","S01001884","Low Weight Births","Count",1
"2004-2006","S01001884","Live Singleton Births","Count",30
"2007-2009","S01001884","Low Weight Births","Count",1
"2005-2007","S01001884","Live Singleton Births","Count",28
"2000-2002","S01001884","Low Weight Births","Count",1
"2008-2010","S01001884","Low Weight Births","Count",1
"2006-2008","S01001884","Live Singleton Births","Count",33
"2010-2012","S01001884","Low Weight Births","Ratio","4.17"
"2005-2007","S01001884","Low Weight Births","Ratio","3.57"
"2006-2008","S01001884","Low Weight Births","Ratio","3.03"
"2011-2013","S01001884","Low Weight Births","Ratio","4.76"
"2007-2009","S01001884","Low Weight Births","Ratio","3.45"
"2008-2010","S01001884","Low Weight Births","Ratio","3.13"
"2000-2002","S01001884","Low Weight Births","Ratio","4.76"
"2001-2003","S01001884","Low Weight Births","Ratio",10
"2002-2004","S01001884","Low Weight Births","Ratio","8.7"
"2003-2005","S01001884","Low Weight Births","Ratio","8.33"
"2009-2011","S01001884","Low Weight Births","Ratio","3.85"
"2004-2006","S01001884","Low Weight Births","Ratio","3.33"
"2007-2009","S01001885","Live Singleton Births","Count",26
"2008-2010","S01001885","Live Singleton Births","Count",26
"2001-2003","S01001885","Low Weight Births","Count",0
"2002-2004","S01001885","Low Weight Births","Count",0
"2009-2011","S01001885","Low Weight Births","Count",0
"2009-2011","S01001885","Live Singleton Births","Count",26
"2003-2005","S01001885","Low Weight Births","Count",0
"2010-2012","S01001885","Live Singleton Births","Count",28
"2000-2002","S01001885","Live Singleton Births","Count",25
"2004-2006","S01001885","Low Weight Births","Count",0
"2010-2012","S01001885","Low Weight Births","Count",0
"2011-2013","S01001885","Live Singleton Births","Count",24
"2001-2003","S01001885","Live Singleton Births","Count",26
"2005-2007","S01001885","Low Weight Births","Count",0
"2002-2004","S01001885","Live Singleton Births","Count",29
"2011-2013","S01001885","Low Weight Births","Count",0
"2003-2005","S01001885","Live Singleton Births","Count",25
"2006-2008","S01001885","Low Weight Births","Count",1
"2004-2006","S01001885","Live Singleton Births","Count",25
"2007-2009","S01001885","Low Weight Births","Count",1
"2005-2007","S01001885","Live Singleton Births","Count",27
"2000-2002","S01001885","Low Weight Births","Count",0
"2008-2010","S01001885","Low Weight Births","Count",1
"2006-2008","S01001885","Live Singleton Births","Count",29
"2010-2012","S01001885","Low Weight Births","Ratio",0
"2005-2007","S01001885","Low Weight Births","Ratio",0
"2006-2008","S01001885","Low Weight Births","Ratio","3.45"
"2011-2013","S01001885","Low Weight Births","Ratio",0
"2007-2009","S01001885","Low Weight Births","Ratio","3.85"
"2008-2010","S01001885","Low Weight Births","Ratio","3.85"
"2000-2002","S01001885","Low Weight Births","Ratio",0
"2001-2003","S01001885","Low Weight Births","Ratio",0
"2002-2004","S01001885","Low Weight Births","Ratio",0
"2003-2005","S01001885","Low Weight Births","Ratio",0
"2009-2011","S01001885","Low Weight Births","Ratio",0
"2004-2006","S01001885","Low Weight Births","Ratio",0
"2007-2009","S01001886","Live Singleton Births","Count",15
"2008-2010","S01001886","Live Singleton Births","Count",13
"2001-2003","S01001886","Low Weight Births","Count",0
"2002-2004","S01001886","Low Weight Births","Count",0
"2009-2011","S01001886","Low Weight Births","Count",0
"2009-2011","S01001886","Live Singleton Births","Count",11
"2003-2005","S01001886","Low Weight Births","Count",0
"2010-2012","S01001886","Live Singleton Births","Count",10
"2000-2002","S01001886","Live Singleton Births","Count",13
"2004-2006","S01001886","Low Weight Births","Count",0
"2010-2012","S01001886","Low Weight Births","Count",0
"2011-2013","S01001886","Live Singleton Births","Count",13
"2001-2003","S01001886","Live Singleton Births","Count",13
"2005-2007","S01001886","Low Weight Births","Count",0
"2002-2004","S01001886","Live Singleton Births","Count",12
"2011-2013","S01001886","Low Weight Births","Count",1
"2003-2005","S01001886","Live Singleton Births","Count",13
"2006-2008","S01001886","Low Weight Births","Count",0
"2004-2006","S01001886","Live Singleton Births","Count",15
"2007-2009","S01001886","Low Weight Births","Count",0
"2005-2007","S01001886","Live Singleton Births","Count",19
"2000-2002","S01001886","Low Weight Births","Count",0
"2008-2010","S01001886","Low Weight Births","Count",0
"2006-2008","S01001886","Live Singleton Births","Count",17
"2010-2012","S01001886","Low Weight Births","Ratio",0
"2005-2007","S01001886","Low Weight Births","Ratio",0
"2006-2008","S01001886","Low Weight Births","Ratio",0
"2011-2013","S01001886","Low Weight Births","Ratio","7.69"
"2007-2009","S01001886","Low Weight Births","Ratio",0
"2008-2010","S01001886","Low Weight Births","Ratio",0
"2000-2002","S01001886","Low Weight Births","Ratio",0
"2001-2003","S01001886","Low Weight Births","Ratio",0
"2002-2004","S01001886","Low Weight Births","Ratio",0
"2003-2005","S01001886","Low Weight Births","Ratio",0
"2009-2011","S01001886","Low Weight Births","Ratio",0
"2004-2006","S01001886","Low Weight Births","Ratio",0
"2007-2009","S01001887","Live Singleton Births","Count",29
"2008-2010","S01001887","Live Singleton Births","Count",29
"2001-2003","S01001887","Low Weight Births","Count",0
"2002-2004","S01001887","Low Weight Births","Count",0
"2009-2011","S01001887","Low Weight Births","Count",0
"2009-2011","S01001887","Live Singleton Births","Count",30
"2003-2005","S01001887","Low Weight Births","Count",1
"2010-2012","S01001887","Live Singleton Births","Count",25
"2000-2002","S01001887","Live Singleton Births","Count",20
"2004-2006","S01001887","Low Weight Births","Count",2
"2010-2012","S01001887","Low Weight Births","Count",0
"2011-2013","S01001887","Live Singleton Births","Count",24
"2001-2003","S01001887","Live Singleton Births","Count",20
"2005-2007","S01001887","Low Weight Births","Count",3
"2002-2004","S01001887","Live Singleton Births","Count",25
"2011-2013","S01001887","Low Weight Births","Count",0
"2003-2005","S01001887","Live Singleton Births","Count",24
"2006-2008","S01001887","Low Weight Births","Count",3
"2004-2006","S01001887","Live Singleton Births","Count",24
"2007-2009","S01001887","Low Weight Births","Count",2
"2005-2007","S01001887","Live Singleton Births","Count",25
"2000-2002","S01001887","Low Weight Births","Count",0
"2008-2010","S01001887","Low Weight Births","Count",1
"2006-2008","S01001887","Live Singleton Births","Count",27
"2010-2012","S01001887","Low Weight Births","Ratio",0
"2005-2007","S01001887","Low Weight Births","Ratio",12
"2006-2008","S01001887","Low Weight Births","Ratio","11.11"
"2011-2013","S01001887","Low Weight Births","Ratio",0
"2007-2009","S01001887","Low Weight Births","Ratio","6.9"
"2008-2010","S01001887","Low Weight Births","Ratio","3.45"
"2000-2002","S01001887","Low Weight Births","Ratio",0
"2001-2003","S01001887","Low Weight Births","Ratio",0
"2002-2004","S01001887","Low Weight Births","Ratio",0
"2003-2005","S01001887","Low Weight Births","Ratio","4.17"
"2009-2011","S01001887","Low Weight Births","Ratio",0
"2004-2006","S01001887","Low Weight Births","Ratio","8.33"
"2007-2009","S01001888","Live Singleton Births","Count",21
"2008-2010","S01001888","Live Singleton Births","Count",16
"2001-2003","S01001888","Low Weight Births","Count",0
"2002-2004","S01001888","Low Weight Births","Count",0
"2009-2011","S01001888","Low Weight Births","Count",0
"2009-2011","S01001888","Live Singleton Births","Count",21
"2003-2005","S01001888","Low Weight Births","Count",0
"2010-2012","S01001888","Live Singleton Births","Count",17
"2000-2002","S01001888","Live Singleton Births","Count",41
"2004-2006","S01001888","Low Weight Births","Count",0
"2010-2012","S01001888","Low Weight Births","Count",0
"2011-2013","S01001888","Live Singleton Births","Count",20
"2001-2003","S01001888","Live Singleton Births","Count",31
"2005-2007","S01001888","Low Weight Births","Count",1
"2002-2004","S01001888","Live Singleton Births","Count",26
"2011-2013","S01001888","Low Weight Births","Count",0
"2003-2005","S01001888","Live Singleton Births","Count",24
"2006-2008","S01001888","Low Weight Births","Count",1
"2004-2006","S01001888","Live Singleton Births","Count",27
"2007-2009","S01001888","Low Weight Births","Count",1
"2005-2007","S01001888","Live Singleton Births","Count",27
"2000-2002","S01001888","Low Weight Births","Count",0
"2008-2010","S01001888","Low Weight Births","Count",0
"2006-2008","S01001888","Live Singleton Births","Count",21
"2010-2012","S01001888","Low Weight Births","Ratio",0
"2005-2007","S01001888","Low Weight Births","Ratio","3.7"
"2006-2008","S01001888","Low Weight Births","Ratio","4.76"
"2011-2013","S01001888","Low Weight Births","Ratio",0
"2007-2009","S01001888","Low Weight Births","Ratio","4.76"
"2008-2010","S01001888","Low Weight Births","Ratio",0
"2000-2002","S01001888","Low Weight Births","Ratio",0
"2001-2003","S01001888","Low Weight Births","Ratio",0
"2002-2004","S01001888","Low Weight Births","Ratio",0
"2003-2005","S01001888","Low Weight Births","Ratio",0
"2009-2011","S01001888","Low Weight Births","Ratio",0
"2004-2006","S01001888","Low Weight Births","Ratio",0
"2007-2009","S01001889","Live Singleton Births","Count",13
"2008-2010","S01001889","Live Singleton Births","Count",14
"2001-2003","S01001889","Low Weight Births","Count",1
"2002-2004","S01001889","Low Weight Births","Count",1
"2009-2011","S01001889","Low Weight Births","Count",0
"2009-2011","S01001889","Live Singleton Births","Count",19
"2003-2005","S01001889","Low Weight Births","Count",2
"2010-2012","S01001889","Live Singleton Births","Count",19
"2000-2002","S01001889","Live Singleton Births","Count",18
"2004-2006","S01001889","Low Weight Births","Count",1
"2010-2012","S01001889","Low Weight Births","Count",0
"2011-2013","S01001889","Live Singleton Births","Count",17
"2001-2003","S01001889","Live Singleton Births","Count",22
"2005-2007","S01001889","Low Weight Births","Count",1
"2002-2004","S01001889","Live Singleton Births","Count",18
"2011-2013","S01001889","Low Weight Births","Count",0
"2003-2005","S01001889","Live Singleton Births","Count",20
"2006-2008","S01001889","Low Weight Births","Count",0
"2004-2006","S01001889","Live Singleton Births","Count",18
"2007-2009","S01001889","Low Weight Births","Count",0
"2005-2007","S01001889","Live Singleton Births","Count",18
"2000-2002","S01001889","Low Weight Births","Count",0
"2008-2010","S01001889","Low Weight Births","Count",0
"2006-2008","S01001889","Live Singleton Births","Count",17
"2010-2012","S01001889","Low Weight Births","Ratio",0
"2005-2007","S01001889","Low Weight Births","Ratio","5.56"
"2006-2008","S01001889","Low Weight Births","Ratio",0
"2011-2013","S01001889","Low Weight Births","Ratio",0
"2007-2009","S01001889","Low Weight Births","Ratio",0
"2008-2010","S01001889","Low Weight Births","Ratio",0
"2000-2002","S01001889","Low Weight Births","Ratio",0
"2001-2003","S01001889","Low Weight Births","Ratio","4.55"
"2002-2004","S01001889","Low Weight Births","Ratio","5.56"
"2003-2005","S01001889","Low Weight Births","Ratio",10
"2009-2011","S01001889","Low Weight Births","Ratio",0
"2004-2006","S01001889","Low Weight Births","Ratio","5.56"
"2007-2009","S01001890","Live Singleton Births","Count",40
"2008-2010","S01001890","Live Singleton Births","Count",34
"2001-2003","S01001890","Low Weight Births","Count",3
"2002-2004","S01001890","Low Weight Births","Count",3
"2009-2011","S01001890","Low Weight Births","Count",1
"2009-2011","S01001890","Live Singleton Births","Count",33
"2003-2005","S01001890","Low Weight Births","Count",2
"2010-2012","S01001890","Live Singleton Births","Count",33
"2000-2002","S01001890","Live Singleton Births","Count",39
"2004-2006","S01001890","Low Weight Births","Count",1
"2010-2012","S01001890","Low Weight Births","Count",1
"2011-2013","S01001890","Live Singleton Births","Count",35
"2001-2003","S01001890","Live Singleton Births","Count",40
"2005-2007","S01001890","Low Weight Births","Count",0
"2002-2004","S01001890","Live Singleton Births","Count",35
"2011-2013","S01001890","Low Weight Births","Count",2
"2003-2005","S01001890","Live Singleton Births","Count",29
"2006-2008","S01001890","Low Weight Births","Count",0
"2004-2006","S01001890","Live Singleton Births","Count",29
"2007-2009","S01001890","Low Weight Births","Count",0
"2005-2007","S01001890","Live Singleton Births","Count",34
"2000-2002","S01001890","Low Weight Births","Count",2
"2008-2010","S01001890","Low Weight Births","Count",0
"2006-2008","S01001890","Live Singleton Births","Count",37
"2010-2012","S01001890","Low Weight Births","Ratio","3.03"
"2005-2007","S01001890","Low Weight Births","Ratio",0
"2006-2008","S01001890","Low Weight Births","Ratio",0
"2011-2013","S01001890","Low Weight Births","Ratio","5.71"
"2007-2009","S01001890","Low Weight Births","Ratio",0
"2008-2010","S01001890","Low Weight Births","Ratio",0
"2000-2002","S01001890","Low Weight Births","Ratio","5.13"
"2001-2003","S01001890","Low Weight Births","Ratio","7.5"
"2002-2004","S01001890","Low Weight Births","Ratio","8.57"
"2003-2005","S01001890","Low Weight Births","Ratio","6.9"
"2009-2011","S01001890","Low Weight Births","Ratio","3.03"
"2004-2006","S01001890","Low Weight Births","Ratio","3.45"
"2007-2009","S01001891","Live Singleton Births","Count",32
"2008-2010","S01001891","Live Singleton Births","Count",33
"2001-2003","S01001891","Low Weight Births","Count",0
"2002-2004","S01001891","Low Weight Births","Count",0
"2009-2011","S01001891","Low Weight Births","Count",0
"2009-2011","S01001891","Live Singleton Births","Count",30
"2003-2005","S01001891","Low Weight Births","Count",1
"2010-2012","S01001891","Live Singleton Births","Count",29
"2000-2002","S01001891","Live Singleton Births","Count",13
"2004-2006","S01001891","Low Weight Births","Count",3
"2010-2012","S01001891","Low Weight Births","Count",1
"2011-2013","S01001891","Live Singleton Births","Count",30
"2001-2003","S01001891","Live Singleton Births","Count",13
"2005-2007","S01001891","Low Weight Births","Count",3
"2002-2004","S01001891","Live Singleton Births","Count",12
"2011-2013","S01001891","Low Weight Births","Count",1
"2003-2005","S01001891","Live Singleton Births","Count",18
"2006-2008","S01001891","Low Weight Births","Count",3
"2004-2006","S01001891","Live Singleton Births","Count",18
"2007-2009","S01001891","Low Weight Births","Count",1
"2005-2007","S01001891","Live Singleton Births","Count",21
"2000-2002","S01001891","Low Weight Births","Count",0
"2008-2010","S01001891","Low Weight Births","Count",1
"2006-2008","S01001891","Live Singleton Births","Count",27
"2010-2012","S01001891","Low Weight Births","Ratio","3.45"
"2005-2007","S01001891","Low Weight Births","Ratio","14.29"
"2006-2008","S01001891","Low Weight Births","Ratio","11.11"
"2011-2013","S01001891","Low Weight Births","Ratio","3.33"
"2007-2009","S01001891","Low Weight Births","Ratio","3.13"
"2008-2010","S01001891","Low Weight Births","Ratio","3.03"
"2000-2002","S01001891","Low Weight Births","Ratio",0
"2001-2003","S01001891","Low Weight Births","Ratio",0
"2002-2004","S01001891","Low Weight Births","Ratio",0
"2003-2005","S01001891","Low Weight Births","Ratio","5.56"
"2009-2011","S01001891","Low Weight Births","Ratio",0
"2004-2006","S01001891","Low Weight Births","Ratio","16.67"
"2007-2009","S01001892","Live Singleton Births","Count",66
"2008-2010","S01001892","Live Singleton Births","Count",64
"2001-2003","S01001892","Low Weight Births","Count",0
"2002-2004","S01001892","Low Weight Births","Count",0
"2009-2011","S01001892","Low Weight Births","Count",3
"2009-2011","S01001892","Live Singleton Births","Count",62
"2003-2005","S01001892","Low Weight Births","Count",0
"2010-2012","S01001892","Live Singleton Births","Count",60
"2000-2002","S01001892","Live Singleton Births","Count",59
"2004-2006","S01001892","Low Weight Births","Count",0
"2010-2012","S01001892","Low Weight Births","Count",4
"2011-2013","S01001892","Live Singleton Births","Count",64
"2001-2003","S01001892","Live Singleton Births","Count",54
"2005-2007","S01001892","Low Weight Births","Count",1
"2002-2004","S01001892","Live Singleton Births","Count",51
"2011-2013","S01001892","Low Weight Births","Count",2
"2003-2005","S01001892","Live Singleton Births","Count",51
"2006-2008","S01001892","Low Weight Births","Count",2
"2004-2006","S01001892","Live Singleton Births","Count",51
"2007-2009","S01001892","Low Weight Births","Count",2
"2005-2007","S01001892","Live Singleton Births","Count",55
"2000-2002","S01001892","Low Weight Births","Count",0
"2008-2010","S01001892","Low Weight Births","Count",3
"2006-2008","S01001892","Live Singleton Births","Count",63
"2010-2012","S01001892","Low Weight Births","Ratio","6.67"
"2005-2007","S01001892","Low Weight Births","Ratio","1.82"
"2006-2008","S01001892","Low Weight Births","Ratio","3.17"
"2011-2013","S01001892","Low Weight Births","Ratio","3.13"
"2007-2009","S01001892","Low Weight Births","Ratio","3.03"
"2008-2010","S01001892","Low Weight Births","Ratio","4.69"
"2000-2002","S01001892","Low Weight Births","Ratio",0
"2001-2003","S01001892","Low Weight Births","Ratio",0
"2002-2004","S01001892","Low Weight Births","Ratio",0
"2003-2005","S01001892","Low Weight Births","Ratio",0
"2009-2011","S01001892","Low Weight Births","Ratio","4.84"
"2004-2006","S01001892","Low Weight Births","Ratio",0
"2007-2009","S01001893","Live Singleton Births","Count",40
"2008-2010","S01001893","Live Singleton Births","Count",50
"2001-2003","S01001893","Low Weight Births","Count",2
"2002-2004","S01001893","Low Weight Births","Count",2
"2009-2011","S01001893","Low Weight Births","Count",2
"2009-2011","S01001893","Live Singleton Births","Count",55
"2003-2005","S01001893","Low Weight Births","Count",3
"2010-2012","S01001893","Live Singleton Births","Count",56
"2000-2002","S01001893","Live Singleton Births","Count",36
"2004-2006","S01001893","Low Weight Births","Count",1
"2010-2012","S01001893","Low Weight Births","Count",3
"2011-2013","S01001893","Live Singleton Births","Count",56
